Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Total Min,90s Played,Goals,Ast,G+A,Non-PK Goals,PK,PKattempts,Crd-Yellow,Crd-Red,xGoals,Non-PK xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals per 90,Assists per 90,Goals +Assists  per 90,Non-PK Goals per 90,Non-PK Goals/Assists per 90,xG per 90,xAG per 90,xG+xAG per 90,Non PK xG per 90,xNon PK Goals + Assisted Goals per 90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerials Won,Aerials Lost,Won%,Weekly Wages,Annual Wages,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Max Aarons,ENG,DF,Bournemouth,24,2000,17,12,"1,152",12.8,0,1,1,0,0,0,1,0,0,0,0.8,0.9,21,42,24,0,0.08,0.08,0,0.08,0,0.06,0.07,0,0.07,0,0,11,26,2,11,6,19,0,1,0,73,5,10,33.3,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",68,37.6,86,9,5,23,4,0.76,10,31,-21,-1.64,-2.11,12.6,26.2,-13.5,-1.06,-1.65
Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,21,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0,0,0,0,0,0.06,0.13,0.19,0.06,0.19,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10,,,48,12.6,86,1,5,26,11,0.13,2,13,-11,-2.56,-0.94,3.1,11.5,-8.4,-1.96,-1.12
Tyler Adams,USA,MF,Bournemouth,25,1999,2,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,4,1,0,0,0,0,0,0,0.07,0.07,0,0.07,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40,"£ 60,000 (€ 69,719, $74,331)","£ 3,120,000 (€ 3,625,393, $3,865,192)",55,3.6,90,1,1,20,2,3,3,1,2,1.64,2.03,1.9,1,0.9,0.74,0.8
Tosin Adarabioyo,ENG,DF,Fulham,26,1997,20,18,"1,617",18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,"£ 40,000 (€ 46,479, $49,554)","£ 2,080,000 (€ 2,416,928, $2,576,795)",81,52.8,90,17,2,2,2,1.4,28,25,3,0.17,0.6,27.6,28,-0.5,-0.03,0.5
Elijah Adebayo,ENG,FW,Luton Town,26,1998,23,13,"1,162",12.9,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,85,0.7,0,0.7,0.7,0.7,0.43,0.05,0.49,0.43,0.49,0,0,22,11,11,4,5,0,0,0,0,30,38,38,50,"£ 12,500 (€ 14,525, $15,486)","£ 650,000 (€ 755,290, $805,248)",51,38,76,4,10,17,0,0.87,25,28,-3,-0.23,0.95,19.3,23.2,-3.9,-0.3,1.05
Simon Adingra,CIV,FW,Brighton,22,2002,25,20,"1,767",19.6,6,1,7,6,0,0,2,0,3.5,3.5,2.5,6,86,41,233,0.31,0.05,0.36,0.31,0.36,0.18,0.13,0.3,0.18,0.3,0,0,23,15,14,63,14,18,0,0,0,96,8,11,42.1,"£ 12,500 (€ 14,525, $15,486)","£ 650,000 (€ 755,290, $805,248)",70,61,83,9,6,26,1,1.27,31,32,-1,-0.05,0.03,26.5,29.6,-3.1,-0.15,-0.44
Nayef Aguerd,MAR,DF,West Ham,28,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",88,60.7,88,19,0,,4,1.19,26,44,-18,-0.87,-1.55,25,38.2,-13.2,-0.64,-0.45
Brandon Aguilera,CRC,FW,Nott'ham Forest,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",5,0.2,,0,1,5,3,0,0,0,0,0,0.53,0,0,0,0,0.12
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,22,2002,18,0,274,3,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,17,17,18,0,0,0,0,0,0.13,0.01,0.14,0.13,0.14,0,0,7,6,0,6,1,7,0,0,0,22,2,3,40,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",15,9,,0,18,15,13,0.72,9,13,-4,-1.31,-1.06,7.3,7.1,0.2,0.05,0.3
Anel Ahmedhodi?,BIH,DF,Sheffield Utd,25,1999,27,25,"2,290",25.4,1,0,1,1,0,0,9,0,2.6,2.6,0.7,3.2,11,35,18,0.04,0,0.04,0.04,0.04,0.1,0.03,0.13,0.1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ola Aina,NGA,DF,Nott'ham Forest,27,1996,19,17,"1,422",15.8,1,1,2,1,0,0,3,0,0.2,0.2,0.8,1,39,53,30,0.06,0.06,0.13,0.06,0.13,0.01,0.05,0.06,0.01,0.06,0,0,14,22,2,19,14,22,0,1,0,78,14,10,58.3,"£ 40,000 (€ 46,479, $49,554)","£ 2,080,000 (€ 2,416,928, $2,576,795)",75,46.5,83,6,2,5,3,1,22,33,-11,-0.7,-0.31,18.3,23.9,-5.6,-0.35,-0.44
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,22,2001,28,24,"1,928",21.4,2,1,3,2,0,0,6,0,3.1,3.1,1.9,5,59,90,84,0.09,0.05,0.14,0.09,0.14,0.14,0.09,0.23,0.14,0.23,0,0,24,48,6,36,12,36,1,0,0,125,21,24,46.7,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",70,65.9,76,9,4,30,0,1.28,33,33,0,0,0.69,30.4,35.3,-4.9,-0.22,0.5
Kristoffer Ajer,NOR,DF,Brentford,26,1998,25,18,"1,643",18.3,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,19,53,31,0.11,0.05,0.16,0.11,0.16,0.07,0.12,0.2,0.07,0.2,0,0,24,8,1,18,20,19,0,0,0,51,60,21,74.1,"£ 40,000 (€ 46,479, $49,554)","£ 2,080,000 (€ 2,416,928, $2,576,795)",66,53.7,87,13,7,11,1,1.12,28,32,-4,-0.22,-0.03,30.6,28.2,2.4,0.13,-0.01
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,24,22,"1,991",22.1,2,0,2,2,0,0,4,1,0.9,0.9,0.3,1.3,41,124,34,0.09,0,0.09,0.09,0.09,0.04,0.02,0.06,0.04,0.06,1,1,14,19,0,9,22,23,0,0,0,121,25,25,50,"£ 180,000 (€ 209,157, $222,992)","£ 9,360,000 (€ 10,876,178, $11,595,576)",83,70.1,88,21,2,23,4,2.28,56,21,35,1.51,0.2,45.3,22.4,22.9,0.99,-0.47
Nathan Aké,NED,DF,Manchester City,29,1995,24,20,"1,753",19.5,2,2,4,2,0,0,0,0,2.1,2.1,1.2,3.3,23,103,17,0.1,0.1,0.21,0.1,0.21,0.11,0.06,0.17,0.11,0.17,0,0,9,17,0,10,12,14,0,0,0,111,42,27,60.9,"£ 160,000 (€ 185,918, $198,215)","£ 8,320,000 (€ 9,667,714, $10,307,179)",74,62.1,86,18,4,10,5,2.28,48,19,29,1.42,-0.1,39.6,19.3,20.3,0.99,-0.37
Thiago Alcántara,ESP,MF,Liverpool,33,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"£ 200,000 (€ 232,397, $247,769)","£ 10,400,000 (€ 12,084,642, $12,883,973)",6,0.2,,0,1,6,0,0,0,1,-1,-15,-16.24,0,0,0,-0.62,-1.69
Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,23,20,"1,744",19.4,3,4,7,3,0,0,5,0,1.9,1.6,5.6,7.2,32,165,70,0.15,0.21,0.36,0.15,0.36,0.1,0.29,0.39,0.08,0.37,0,0,6,7,0,144,25,20,0,0,0,150,8,4,66.7,"£ 180,000 (€ 209,157, $222,992)","£ 9,360,000 (€ 10,876,178, $11,595,576)",76,59.7,83,12,3,28,0,2,42,21,21,1.03,-0.43,43.8,23,20.8,1.03,-0.11
Alisson,BRA,GK,Liverpool,31,1992,23,23,"2,070",23,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,32,4,2,66.7,"£ 150,000 (€ 174,298, $185,827)","£ 7,800,000 (€ 9,063,481, $9,662,980)",90,70.6,90,24,0,,0,2,49,23,26,1.08,-0.42,50.8,29.9,21,0.87,-0.66
Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,29,23,"1,848",20.5,3,1,4,3,0,0,1,0,4.5,4.5,2.6,7.1,77,75,157,0.15,0.05,0.19,0.15,0.19,0.22,0.13,0.34,0.22,0.34,0,0,15,22,9,24,10,24,0,0,0,96,6,7,46.2,"£ 60,000 (€ 69,719, $74,331)","£ 3,120,000 (€ 3,625,393, $3,865,192)",64,62.2,74,5,6,24,0,1.48,38,37,1,0.05,-1.07,36.7,36.5,0.3,0.01,-0.51
Edson Álvarez,MEX,MF,West Ham,26,1997,28,26,"2,222",24.7,1,1,2,1,0,0,10,0,1.3,1.3,0.5,1.8,19,84,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07,0,0,29,14,1,4,39,38,0,1,0,157,29,33,46.8,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",79,72.6,83,17,2,28,0,1.61,38,40,-2,-0.08,0.67,34.5,45.1,-10.6,-0.43,0.12
Julián Álvarez,ARG,"MF,FW",Manchester City,24,2000,31,29,"2,450",27.2,8,8,16,7,1,1,2,0,11.3,10.6,6.4,16.9,56,97,167,0.29,0.29,0.59,0.26,0.55,0.42,0.23,0.65,0.39,0.62,0,0,21,12,2,136,2,12,1,0,0,94,4,23,14.8,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",79,85.5,83,15,2,24,1,2.34,72,24,48,1.7,1.7,59,24,35,1.24,0.77
Zeki Amdouni,SUI,FW,Burnley,23,2000,30,26,"1,836",20.4,4,1,5,4,0,0,2,0,4.4,4.4,1.4,5.8,59,47,84,0.2,0.05,0.25,0.2,0.25,0.22,0.07,0.28,0.22,0.28,0,0,21,35,2,8,8,17,0,0,0,76,14,52,21.2,"£ 30,000 (€ 34,860, $37,165)","£ 1,560,000 (€ 1,812,696, $1,932,596)",61,60,68,2,4,14,4,0.67,17,38,-21,-1.03,-0.22,17.4,33.4,-16,-0.78,-0.18
